activity,county,date,score,state
bar,San Diego,2020-05-20 00:00:00,-0.22727096774193548,California
bar,Orange,2020-06-03 00:00:00,-0.13304090909090913,Florida
bar,Orange,2020-05-27 00:00:00,0.39975,Florida
bar,Orange,2020-05-20 00:00:00,-0.5172222222222221,Florida
bar,Miami-Dade,2020-06-03 00:00:00,-0.44818051948051935,Florida
bar,Miami-Dade,2020-05-27 00:00:00,-0.48721250000000005,Florida
bar,Miami-Dade,2020-05-20 00:00:00,-0.9170285714285714,Florida
bar,Dallas,2020-05-27 00:00:00,-0.212253125,Texas
bar,Dallas,2020-05-20 00:00:00,-0.8779130434782607,Texas
bar,Kings,2020-05-27 00:00:00,-0.36499677419354826,New York
bar,Riverside,2020-06-03 00:00:00,0.4021388888888891,California
bar,Queens,2020-06-03 00:00:00,-0.2777347826086957,New York
bar,Queens,2020-05-27 00:00:00,-0.44088039215686264,New York
bar,Queens,2020-05-20 00:00:00,-0.5890741935483872,New York
bar,King,2020-06-03 00:00:00,-0.4033727272727272,Washington
bar,King,2020-05-27 00:00:00,0.01873999999999997,Washington
bar,King,2020-05-20 00:00:00,-0.5417279999999999,Washington
bar,Clark,2020-06-03 00:00:00,-0.5599833333333333,Nevada
bar,Clark,2020-05-27 00:00:00,-0.459976388888889,Nevada
bar,San Bernardino,2020-06-03 00:00:00,-0.342250909090909,California
bar,San Bernardino,2020-05-27 00:00:00,-0.34833207547169825,California
bar,San Bernardino,2020-05-20 00:00:00,-0.22727096774193548,California
bar,Bexar,2020-05-27 00:00:00,0.47486086956521745,Texas
bar,Broward,2020-06-03 00:00:00,-0.4166863013698631,Florida
bar,Broward,2020-05-27 00:00:00,-0.39566999999999997,Florida
bar,Santa Clara,2020-06-03 00:00:00,-0.6017972222222221,California
bar,Wayne,2020-06-03 00:00:00,-0.28805555555555556,Michigan
bar,Alameda,2020-06-03 00:00:00,-0.8017071428571428,California
bar,Alameda,2020-05-20 00:00:00,-0.5597666666666667,California
bar,New York,2020-06-03 00:00:00,-0.06797435897435895,New York
bar,New York,2020-05-27 00:00:00,-0.3280411764705881,New York
bar,New York,2020-05-20 00:00:00,-0.31603437500000003,New York
bar,Philadelphia,2020-06-03 00:00:00,-0.750604347826087,Pennsylvania
bar,Philadelphia,2020-05-27 00:00:00,-0.1482088235294118,Pennsylvania
bar,Sacramento,2020-06-03 00:00:00,-0.5166750000000001,California
bar,Sacramento,2020-05-27 00:00:00,-0.7700222222222222,California
bar,Sacramento,2020-05-20 00:00:00,0.05614166666666665,California
bar,Palm Beach,2020-06-03 00:00:00,-0.4477233766233767,Florida
bar,Palm Beach,2020-05-27 00:00:00,-0.31445799999999996,Florida
bar,Palm Beach,2020-05-20 00:00:00,-0.4107847826086957,Florida
bar,Orange,2020-06-03 00:00:00,-0.13304090909090913,Florida
bar,Orange,2020-05-27 00:00:00,0.39975,Florida
bar,Orange,2020-05-20 00:00:00,-0.5172222222222221,Florida
bar,Franklin,2020-05-27 00:00:00,-0.3888351851851853,Ohio
bar,Hennepin,2020-05-27 00:00:00,-0.6396749999999998,Minnesota
bar,Oakland,2020-06-03 00:00:00,-0.9791874999999999,Michigan
bar,Oakland,2020-05-20 00:00:00,-0.49202222222222214,Michigan
bar,Travis,2020-06-03 00:00:00,-0.10033333333333333,Texas
bar,Salt Lake,2020-06-03 00:00:00,-0.09125421686746989,Utah
bar,Salt Lake,2020-05-27 00:00:00,-0.4393920000000001,Utah
bar,Salt Lake,2020-05-20 00:00:00,-0.17859347826086958,Utah
bar,Contra Costa,2020-06-03 00:00:00,-0.43802142857142845,California
bar,Contra Costa,2020-05-27 00:00:00,-0.6587,California
bar,Wake,2020-06-03 00:00:00,-0.003957142857142838,North Carolina
bar,Wake,2020-05-27 00:00:00,-0.20549651162790697,North Carolina
bar,Wake,2020-05-20 00:00:00,-0.34468,North Carolina
bar,Montgomery,2020-05-20 00:00:00,-0.53955625,Maryland
bar,Pima,2020-05-20 00:00:00,-0.6906571428571429,Arizona
bar,Collin,2020-06-03 00:00:00,-0.3041125,Texas
bar,Collin,2020-05-27 00:00:00,-0.57803,Texas
bar,Collin,2020-05-20 00:00:00,-0.6913630434782609,Texas
bar,St. Louis,2020-06-03 00:00:00,-0.26399859154929567,Missouri
bar,St. Louis,2020-05-27 00:00:00,-0.580546875,Missouri
bar,St. Louis,2020-05-20 00:00:00,-0.584698888888889,Missouri
bar,Marion,2020-05-27 00:00:00,-0.8652799999999999,Indiana
bar,Duval,2020-06-03 00:00:00,0.14377368421052633,Florida
bar,Milwaukee,2020-05-27 00:00:00,-0.5040213333333333,Wisconsin
bar,Prince George's,2020-06-03 00:00:00,-0.4749634146341465,Maryland
bar,Prince George's,2020-05-27 00:00:00,-0.2918810126582278,Maryland
bar,Prince George's,2020-05-20 00:00:00,-0.45787962962962986,Maryland
bar,Pierce,2020-06-03 00:00:00,0.11328571428571428,Washington
bar,San Francisco,2020-06-03 00:00:00,-0.342250909090909,California
bar,San Francisco,2020-05-27 00:00:00,-0.34833207547169825,California
